iter	Passed	Remaining
0	1	104
1	1	95
2	2	93
3	3	87
4	5	95
5	6	101
6	7	103
7	8	102
8	10	101
9	11	99
10	11	96
11	13	97
12	14	96
13	15	95
14	17	96
15	18	96
16	19	97
17	21	97
18	22	96
19	23	95
20	25	95
21	26	94
22	28	94
23	29	93
24	31	93
25	32	91
26	33	90
27	35	90
28	36	88
29	37	88
30	39	88
31	40	87
32	42	85
33	44	85
34	46	86
35	47	83
36	48	81
37	49	80
38	50	78
39	51	76
40	52	76
41	53	73
42	55	73
43	57	73
44	59	72
45	61	72
46	63	71
47	64	70
48	66	69
49	68	68
50	69	67
51	71	65
52	72	64
53	74	63
54	75	61
55	76	60
56	78	59
57	80	58
58	82	57
59	84	56
60	85	54
61	87	53
62	88	51
63	89	50
64	91	49
65	92	47
66	93	46
67	95	44
68	96	43
69	97	41
70	99	40
71	100	39
72	102	37
73	103	36
74	105	35
75	106	33
76	107	32
77	109	30
78	110	29
79	112	28
80	113	26
81	115	25
82	116	23
83	117	22
84	119	21
85	120	19
86	121	18
87	123	16
88	125	15
89	127	14
90	128	12
91	129	11
92	131	9
93	132	8
94	134	7
95	135	5
96	136	4
97	138	2
98	138	1
99	140	0
